university_id,year,num_students,student_staff_ratio,pct_international_students,pct_female_students,country_name,university_name,ranking_criteria_id,ranking_system_id,ranking_system_name,score,ranking_criteria_name,Country_id
1,2011,20152,8.9,25,33,United States of America,Harvard University,1,1,Times Higher Education World University Ranking,100,Teaching,73
5,2011,2243,6.9,27,33,United States of America,California Institute of Technology,1,1,Times Higher Education World University Ranking,100,Teaching,73
2,2011,11074,9,33,37,United States of America,Massachusetts Institute of Technology,1,1,Times Higher Education World University Ranking,100,Teaching,73
3,2011,15596,7.8,22,42,United States of America,Stanford University,1,1,Times Higher Education World University Ranking,100,Teaching,73
6,2011,7929,8.4,27,45,United States of America,Princeton University,1,1,Times Higher Education World University Ranking,100,Teaching,73
4,2011,18812,11.8,34,46,United Kingdom,University of Cambridge,1,1,Times Higher Education World University Ranking,100,Teaching,72
7,2011,19919,11.6,34,46,United Kingdom,University of Oxford,1,1,Times Higher Education World University Ranking,100,Teaching,72
10,2011,36186,16.4,15,50,United States of America,"University of California, Berkeley",1,1,Times Higher Education World University Ranking,100,Teaching,73
28,2011,15060,11.7,51,37,United Kingdom,Imperial College London,1,1,Times Higher Education World University Ranking,100,Teaching,72
8,2011,11751,4.4,20,50,United States of America,Yale University,1,1,Times Higher Education World University Ranking,100,Teaching,73
19,2011,38206,10.3,15,52,United States of America,"University of California, Los Angeles",1,1,Times Higher Education World University Ranking,100,Teaching,73
11,2011,14221,6.9,21,42,United States of America,University of Chicago,1,1,Times Higher Education World University Ranking,100,Teaching,73
15,2011,15128,3.6,23,50,United States of America,Johns Hopkins University,1,1,Times Higher Education World University Ranking,100,Teaching,73
12,2011,21424,10.2,19,48,United States of America,Cornell University,1,1,Times Higher Education World University Ranking,100,Teaching,73
1025,2011,18178,14.7,37,31,Switzerland,ETH Zurich – Swiss Federal Institute of Technology Zurich,21,3,Center for World University Rankings,82,Research,65
1026,2011,41786,9,16,48,United States of America,University of Michigan,21,3,Center for World University Rankings,82,Research,73
9,2011,25055,5.9,28,48,United States of America,Columbia University,1,1,Times Higher Education World University Ranking,100,Teaching,73
13,2011,20376,6.5,20,51,United States of America,University of Pennsylvania,1,1,Times Higher Education World University Ranking,100,Teaching,73
43,2011,11885,13.1,35,39,United States of America,Carnegie Mellon University,1,1,Times Higher Education World University Ranking,100,Teaching,73
158,2011,19835,17.6,38,53,Hong Kong,University of Hong Kong,14,3,Center for World University Rankings,84,Research,24
31,2011,26607,10.7,46,56,United Kingdom,University College London,1,1,Times Higher Education World University Ranking,100,Teaching,72
1027,2011,44020,11.8,13,53,United States of America,University of Washington,21,3,Center for World University Rankings,82,Research,73
27,2011,15172,4.8,17,49,United States of America,Duke University,1,1,Times Higher Education World University Ranking,100,Teaching,73
33,2011,18334,13.8,15,48,United States of America,Northwestern University,1,1,Times Higher Education World University Ranking,100,Teaching,73
14,2011,26199,5.7,10,48,Japan,University of Tokyo,1,1,Times Higher Education World University Ranking,100,Teaching,33
87,2011,19967,20.1,26,31,United States of America,Georgia Institute of Technology,14,3,Center for World University Rankings,84,Research,73
187,2011,3055,10.1,4,20,South Korea,Pohang University of Science and Technology,14,3,Center for World University Rankings,84,Research,62
40,2011,22020,27.3,11,52,United States of America,"University of California, Santa Barbara",1,1,Times Higher Education World University Ranking,100,Teaching,73
67,2011,50152,17.6,25,54,Canada,University of British Columbia,1,1,Times Higher Education World University Ranking,100,Teaching,9
36,2011,26518,7.3,8,58,United States of America,University of North Carolina at Chapel Hill,1,1,Times Higher Education World University Ranking,100,Teaching,73
20,2011,27233,6.5,11,48,United States of America,"University of California, San Diego",1,1,Times Higher Education World University Ranking,100,Teaching,73
1028,2011,42727,18.7,20,47,United States of America,University of Illinois at Urbana-Champaign,21,3,Center for World University Rankings,82,Research,73
104,2011,31592,15.5,34,49,Singapore,National University of Singapore,14,3,Center for World University Rankings,84,Research,58
41,2011,31326,13.7,23,56,Canada,McGill University,1,1,Times Higher Education World University Ranking,100,Teaching,9
118,2011,40128,23.7,35,55,Australia,University of Melbourne,14,3,Center for World University Rankings,84,Research,2
111,2011,40148,8.3,14,55,China,Peking University,14,3,Center for World University Rankings,84,Research,11
1029,2011,12528,5.7,17,55,United States of America,Washington University in St Louis,21,3,Center for World University Rankings,82,Research,73
61,2011,2429,4.8,30,18,France,École Polytechnique,1,1,Times Higher Education World University Ranking,100,Teaching,20
60,2011,25774,14.1,36,58,United Kingdom,University of Edinburgh,1,1,Times Higher Education World University Ranking,100,Teaching,72
292,2011,11385,23.8,36,58,Hong Kong,Hong Kong University of Science and Technology,14,3,Center for World University Rankings,84,Research,24
1030,2011,2400,7.9,20,46,France,École Normale Supérieure,21,3,Center for World University Rankings,82,Research,20
107,2011,14604,19.2,35,52,Australia,Australian National University,14,3,Center for World University Rankings,84,Research,2
170,2011,25581,25.6,12,51,Germany,University of Göttingen,14,3,Center for World University Rankings,84,Research,21
57,2011,6333,9,26,44,United States of America,Rice University,1,1,Times Higher Education World University Ranking,100,Teaching,73
1032,2011,9666,10.5,54,27,Switzerland,École Polytechnique Fédérale de Lausanne,21,3,Center for World University Rankings,82,Research,65
47,2011,26614,16.1,16,52,United States of America,"University of California, Irvine",1,1,Times Higher Education World University Ranking,100,Teaching,73
59,2011,12161,3.6,10,52,United States of America,Vanderbilt University,1,1,Times Higher Education World University Ranking,100,Teaching,73
1033,2011,46825,18,13,52,United States of America,University of Minnesota,21,3,Center for World University Rankings,82,Research,73
